,stars,forks,pull_requests,subscribers,Tags Count,Open Issues Count,Closed Issues Count,Contributors Count,Commits Count,Dependencies,Usage,popularity_1_year,ReleaseFrequency,Release Count,Vulnerabilities
stars,1.0,0.6254757683951365,0.23649452547780989,0.8246941328639574,0.2697958796923036,0.3916443202803648,0.2182235390810902,0.4150579210222824,0.09899129588957878,0.009827242350074455,0.07691200974268642,0.044827954762184076,-0.003901163820448704,0.0748657216214489,0.011822800503338974
forks,0.6254757683951365,1.0,0.1361165716636499,0.7663297103137416,0.15749956798995846,0.23284450570387127,0.12831509932085358,0.24774870683058633,0.05828362462966681,0.011736156750287352,0.11160789036890995,0.02229798549798743,-0.003108339981639437,0.0937779820735625,0.02741337838645454
pull_requests,0.23649452547780989,0.1361165716636499,1.0,0.2003290659847433,0.6214275532671307,0.5920351588497051,0.8778841643883627,0.5400471294620457,0.41145801653858394,0.08852360004428636,0.019049539692126267,0.009484243528134534,-0.021393126166123804,0.1633409364055939,0.00662488086986536
subscribers,0.8246941328639574,0.7663297103137416,0.2003290659847433,1.0,0.22628424556876203,0.32535527388022994,0.1923778895577026,0.350045020757246,0.08980888763649438,0.024958222376232818,0.12303951942311525,0.06401914903114936,-0.0029300481659774716,0.08522865097417566,0.02273388939504123
Tags Count,0.2697958796923036,0.15749956798995846,0.6214275532671307,0.22628424556876203,1.0,0.5928697956296246,0.6768451521407608,0.6471926194709665,0.4303173416706521,0.12295964706587378,0.020723333724928943,0.007866202757218563,-0.024462472931719596,0.2427054609313329,0.009502787395860447
Open Issues Count,0.3916443202803648,0.23284450570387127,0.5920351588497051,0.32535527388022994,0.5928697956296246,1.0,0.6398527823207575,0.7534348607380476,0.3064101724181122,0.10339307355131998,0.02972984019572566,0.009581869029649418,-0.012433743487309605,0.2250634058352118,0.005748387419790478
Closed Issues Count,0.2182235390810902,0.12831509932085358,0.8778841643883627,0.1923778895577026,0.6768451521407608,0.6398527823207575,1.0,0.5588638089737696,0.4910958261315081,0.11188776647227758,0.020795795416060768,0.010561980328260865,-0.028756744629643564,0.18170181642065467,0.007119495327553379
Contributors Count,0.4150579210222824,0.24774870683058633,0.5400471294620457,0.350045020757246,0.6471926194709665,0.7534348607380476,0.5588638089737696,1.0,0.3129909756315435,0.11058125934833878,0.03635715917378917,0.016269485827035583,-0.014206080084303671,0.24492424153248277,0.008558565347554255
Commits Count,0.09899129588957878,0.05828362462966681,0.41145801653858394,0.08980888763649438,0.4303173416706521,0.3064101724181122,0.4910958261315081,0.3129909756315435,1.0,0.0818219926920036,0.009714184201904388,0.004400080601604539,-0.01957639886413341,0.09991612262220506,0.0036594146209992444
Dependencies,0.009827242350074455,0.011736156750287352,0.08852360004428636,0.024958222376232818,0.12295964706587378,0.10339307355131998,0.11188776647227758,0.11058125934833878,0.0818219926920036,1.0,-0.001100000621566329,-0.003750835681347131,0.0005990763799010718,0.10065531884983134,0.020685507498120065
Usage,0.07691200974268642,0.11160789036890995,0.019049539692126267,0.12303951942311525,0.020723333724928943,0.02972984019572566,0.020795795416060768,0.03635715917378917,0.009714184201904388,-0.001100000621566329,1.0,0.3425861746101827,0.0002483540799117226,0.07849013835136565,0.010264486875309517
popularity_1_year,0.044827954762184076,0.02229798549798743,0.009484243528134534,0.06401914903114936,0.007866202757218563,0.009581869029649418,0.010561980328260865,0.016269485827035583,0.004400080601604539,-0.003750835681347131,0.3425861746101827,1.0,-0.0018503594526207091,0.00897658271564201,0.001995970947641872
ReleaseFrequency,-0.003901163820448704,-0.003108339981639437,-0.021393126166123804,-0.0029300481659774716,-0.024462472931719596,-0.012433743487309605,-0.028756744629643564,-0.014206080084303671,-0.01957639886413341,0.0005990763799010718,0.0002483540799117226,-0.0018503594526207091,1.0,0.08473102952654162,-0.0011666744755467248
Release Count,0.0748657216214489,0.0937779820735625,0.1633409364055939,0.08522865097417566,0.2427054609313329,0.2250634058352118,0.18170181642065467,0.24492424153248277,0.09991612262220506,0.10065531884983134,0.07849013835136565,0.00897658271564201,0.08473102952654162,1.0,0.015897755058413437
Vulnerabilities,0.011822800503338974,0.02741337838645454,0.00662488086986536,0.02273388939504123,0.009502787395860447,0.005748387419790478,0.007119495327553379,0.008558565347554255,0.0036594146209992444,0.020685507498120065,0.010264486875309517,0.001995970947641872,-0.0011666744755467248,0.015897755058413437,1.0
